,Unnamed: 0,GEOID,POP10,HU10,ALAND,INTPTLAT,INTPTLONG                                                                                                                  ,coor,FIPS,FIPSS,ln,liquordense,popdense,housedense
63,63,6075010500,2685,1985,683666,37.8026841,-122.3990586,"(37.7987383877551, -122.402186020408)",60750105001023,6075010500,18,2.63286458592e-05,0.00392735634067,0.00290346455725
64,64,6075010500,2685,1985,683666,37.8026841,-122.3990586,"(37.796652551000001, -122.39803177600001)",60750105002008,6075010500,18,2.63286458592e-05,0.00392735634067,0.00290346455725
65,65,6075010500,2685,1985,683666,37.8026841,-122.3990586,"(37.798445000000001, -122.401129)",60750105001024,6075010500,18,2.63286458592e-05,0.00392735634067,0.00290346455725
66,66,6075010500,2685,1985,683666,37.8026841,-122.3990586,"(37.795530650000003, -122.393431444)",60750105002001,6075010500,18,2.63286458592e-05,0.00392735634067,0.00290346455725
67,67,6075010500,2685,1985,683666,37.8026841,-122.3990586,"(37.802867346900001, -122.402011122)",60750105001010,6075010500,18,2.63286458592e-05,0.00392735634067,0.00290346455725
68,68,6075010500,2685,1985,683666,37.8026841,-122.3990586,"(37.79368085, -122.393214600699)",60750105002021,6075010500,18,2.63286458592e-05,0.00392735634067,0.00290346455725
69,69,6075010600,3894,2286,187222,37.7993784,-122.4063879,"(37.8002957142857, -122.409703734694)",60750106003011,6075010600,43,0.000229673863114,0.0207988377434,0.0122101035135
70,70,6075010600,3894,2286,187222,37.7993784,-122.4063879,"(37.798114700000006, -122.40569929999999)",60750106002004,6075010600,43,0.000229673863114,0.0207988377434,0.0122101035135
71,71,6075010600,3894,2286,187222,37.7993784,-122.4063879,"(37.79977718, -122.40777491600001)",60750106003005,6075010600,43,0.000229673863114,0.0207988377434,0.0122101035135
72,72,6075010600,3894,2286,187222,37.7993784,-122.4063879,"(37.800940877551, -122.409181040816)",60750106003001,6075010600,43,0.000229673863114,0.0207988377434,0.0122101035135
73,73,6075010600,3894,2286,187222,37.7993784,-122.4063879,"(37.799883299999998, -122.40698950000001)",60750106001003,6075010600,43,0.000229673863114,0.0207988377434,0.0122101035135
74,74,6075010600,3894,2286,187222,37.7993784,-122.4063879,"(37.799680299999999, -122.40870259999998)",60750106003004,6075010600,43,0.000229673863114,0.0207988377434,0.0122101035135
75,75,6075010600,3894,2286,187222,37.7993784,-122.4063879,"(37.798189000000001, -122.40293059999999)",60750106002008,6075010600,43,0.000229673863114,0.0207988377434,0.0122101035135
76,76,6075010600,3894,2286,187222,37.7993784,-122.4063879,"(37.8002864285714, -122.409776183673)",60750106003011,6075010600,43,0.000229673863114,0.0207988377434,0.0122101035135
77,77,6075010600,3894,2286,187222,37.7993784,-122.4063879,"(37.7997743, -122.4089176)",60750106003004,6075010600,43,0.000229673863114,0.0207988377434,0.0122101035135
78,78,6075010600,3894,2286,187222,37.7993784,-122.4063879,"(37.797865600000002, -122.4056908)",60750106002005,6075010600,43,0.000229673863114,0.0207988377434,0.0122101035135
79,79,6075010600,3894,2286,187222,37.7993784,-122.4063879,"(37.7979621538, -122.40524692299999)",60750106002006,6075010600,43,0.000229673863114,0.0207988377434,0.0122101035135
80,80,6075010600,3894,2286,187222,37.7993784,-122.4063879,"(37.797783799999998, -122.40529509999999)",60750106002006,6075010600,43,0.000229673863114,0.0207988377434,0.0122101035135
81,81,6075010600,3894,2286,187222,37.7993784,-122.4063879,"(37.800326, -122.4093259)",60750106003011,6075010600,43,0.000229673863114,0.0207988377434,0.0122101035135
82,82,6075010600,3894,2286,187222,37.7993784,-122.4063879,"(37.798229833299999, -122.40445800000001)",60750106002002,6075010600,43,0.000229673863114,0.0207988377434,0.0122101035135
83,83,6075010600,3894,2286,187222,37.7993784,-122.4063879,"(37.8000247, -122.4089839)",60750106003004,6075010600,43,0.000229673863114,0.0207988377434,0.0122101035135
84,84,6075010600,3894,2286,187222,37.7993784,-122.4063879,"(37.8005954, -122.4090838)",60750106003001,6075010600,43,0.000229673863114,0.0207988377434,0.0122101035135
85,85,6075010600,3894,2286,187222,37.7993784,-122.4063879,"(37.799899299999993, -122.4070902)",60750106001003,6075010600,43,0.000229673863114,0.0207988377434,0.0122101035135
86,86,6075010600,3894,2286,187222,37.7993784,-122.4063879,"(37.798454600000007, -122.404286376)",60750106002002,6075010600,43,0.000229673863114,0.0207988377434,0.0122101035135
87,87,6075010600,3894,2286,187222,37.7993784,-122.4063879,"(37.7988380869565, -122.407382717391)",60750106003007,6075010600,43,0.000229673863114,0.0207988377434,0.0122101035135
88,88,6075010600,3894,2286,187222,37.7993784,-122.4063879,"(37.7980888571429, -122.406372)",60750106003010,6075010600,43,0.000229673863114,0.0207988377434,0.0122101035135
89,89,6075010600,3894,2286,187222,37.7993784,-122.4063879,"(37.797901500000002, -122.40508414200001)",60750106002006,6075010600,43,0.000229673863114,0.0207988377434,0.0122101035135
90,90,6075010600,3894,2286,187222,37.7993784,-122.4063879,"(37.798059954499998, -122.404486818)",60750106002006,6075010600,43,0.000229673863114,0.0207988377434,0.0122101035135
91,91,6075010600,3894,2286,187222,37.7993784,-122.4063879,"(37.8003332, -122.4090512)",60750106003004,6075010600,43,0.000229673863114,0.0207988377434,0.0122101035135
92,92,6075010600,3894,2286,187222,37.7993784,-122.4063879,"(37.8007324, -122.4079688)",60750106003000,6075010600,43,0.000229673863114,0.0207988377434,0.0122101035135
93,93,6075010600,3894,2286,187222,37.7993784,-122.4063879,"(37.79972214, -122.408228548)",60750106003004,6075010600,43,0.000229673863114,0.0207988377434,0.0122101035135
94,94,6075010600,3894,2286,187222,37.7993784,-122.4063879,"(37.8009965510204, -122.409191816327)",60750106003001,6075010600,43,0.000229673863114,0.0207988377434,0.0122101035135
95,95,6075010600,3894,2286,187222,37.7993784,-122.4063879,"(37.799718700000007, -122.40825690000001)",60750106003004,6075010600,43,0.000229673863114,0.0207988377434,0.0122101035135
96,96,6075010600,3894,2286,187222,37.7993784,-122.4063879,"(37.797983000000002, -122.40639299999999)",60750106003010,6075010600,43,0.000229673863114,0.0207988377434,0.0122101035135
97,97,6075010600,3894,2286,187222,37.7993784,-122.4063879,"(37.797818200000002, -122.40593940000001)",60750106002005,6075010600,43,0.000229673863114,0.0207988377434,0.0122101035135
98,98,6075010600,3894,2286,187222,37.7993784,-122.4063879,"(37.799478299999997, -122.40841609999998)",60750106003007,6075010600,43,0.000229673863114,0.0207988377434,0.0122101035135
99,99,6075010600,3894,2286,187222,37.7993784,-122.4063879,"(37.799732460000001, -122.40814349200001)",60750106003005,6075010600,43,0.000229673863114,0.0207988377434,0.0122101035135
100,100,6075010600,3894,2286,187222,37.7993784,-122.4063879,"(37.797900050000003, -122.405002295)",60750106002006,6075010600,43,0.000229673863114,0.0207988377434,0.0122101035135
101,101,6075010600,3894,2286,187222,37.7993784,-122.4063879,"(37.7982379583, -122.40439425)",60750106002002,6075010600,43,0.000229673863114,0.0207988377434,0.0122101035135
102,102,6075010600,3894,2286,187222,37.7993784,-122.4063879,"(37.799787500000001, -122.40768986)",60750106003006,6075010600,43,0.000229673863114,0.0207988377434,0.0122101035135
103,103,6075010600,3894,2286,187222,37.7993784,-122.4063879,"(37.8000761, -122.4089989)",60750106003004,6075010600,43,0.000229673863114,0.0207988377434,0.0122101035135
104,104,6075010600,3894,2286,187222,37.7993784,-122.4063879,"(37.799698200000002, -122.40863470000001)",60750106003004,6075010600,43,0.000229673863114,0.0207988377434,0.0122101035135
105,105,6075010600,3894,2286,187222,37.7993784,-122.4063879,"(37.799698200000002, -122.40855740000001)",60750106003004,6075010600,43,0.000229673863114,0.0207988377434,0.0122101035135
106,106,6075010600,3894,2286,187222,37.7993784,-122.4063879,"(37.798128333299999, -122.40525500000001)",60750106002002,6075010600,43,0.000229673863114,0.0207988377434,0.0122101035135
107,107,6075010600,3894,2286,187222,37.7993784,-122.4063879,"(37.798940836699998, -122.40734442899999)",60750106003007,6075010600,43,0.000229673863114,0.0207988377434,0.0122101035135
108,108,6075010600,3894,2286,187222,37.7993784,-122.4063879,"(37.7994755, -122.40881350000001)",60750106003007,6075010600,43,0.000229673863114,0.0207988377434,0.0122101035135
109,109,6075010600,3894,2286,187222,37.7993784,-122.4063879,"(37.799704999999996, -122.40836000000002)",60750106003004,6075010600,43,0.000229673863114,0.0207988377434,0.0122101035135
110,110,6075010600,3894,2286,187222,37.7993784,-122.4063879,"(37.797612899999997, -122.40560120000001)",60750106002005,6075010600,43,0.000229673863114,0.0207988377434,0.0122101035135
111,111,6075010600,3894,2286,187222,37.7993784,-122.4063879,"(37.8007877755102, -122.409151408163)",60750106003001,6075010600,43,0.000229673863114,0.0207988377434,0.0122101035135
