LICENSE NUMBER,STATUS,LICENSE TYPE, ORIG. ISS. DATE, EXPIR DATE, PRIMARY OWNER, PREMISES ADDR, PREMISES CSZ,BUSNESS NAME, MAILING ADDRESS, MAILING CSZ, CENSUS TRACT, GEO CODE
459773,ACTIVE,41,10/31/07,9/30/17,SKIPJACK SUSHI INC,1328 18TH ST,"SAN FRANCISCO, CA  94107-2823",UMI,,,227.02,3800
483868,ACTIVE,41,12/9/09,11/30/17,"WILSON, SHERRY",1457 18TH ST,"SAN FRANCISCO, CA  94107-2801",PERA,,,227.02,3800
500323,ACTIVE,41,4/15/11,3/31/17,PLOW LLC,1299 18TH ST,"SAN FRANCISCO, CA  94107-2919",PLOW,,,227.02,3800
519466,ACTIVE,42,6/22/12,5/31/17,"HEALY, ARAN OLIVER",1419 18TH ST,"SAN FRANCISCO, CA  94107-2801",RUBY WINE,,,227.02,3800
543130,ACTIVE,47,5/30/14,4/30/17,ALTAMIRANO LLC,1469 18TH ST,"SAN FRANCISCO, CA  94107-2801",MOCHICA,778 LAKEVIEW AVE,"SAN FRANCISCO, CA  94112",227.02,3800
556788,ACTIVE,41,10/6/15,5/31/17,LOGERE INC,1401 18TH ST,"SAN FRANCISCO, CA  94107-2801",CHEZ MAMAN,,,227.02,3800
571258,ACTIVE,41,12/29/16,11/30/17,MAC DADDY SF LLC,1453 18TH ST,"SAN FRANCISCO, CA  94107-2801",MAC DADDY,,,227.02,3800
571868,ACTIVE,48,11/9/16,10/31/17,BLOOMS BAR,1318 18TH ST,"SAN FRANCISCO, CA  94107-2823",BLOOMS SALOON,317 MISSISSIPPI ST,"SAN FRANCISCO, CA  94107-2925",227.02,3800
198528,SUREND,41,4/7/87,8/31/17,"GONZALEZFIGUEROA, AMADEO",3349 18TH ST,"SAN FRANCISCO, CA  94110",BALOMPIE CAFE,,,208,3800
385081,ACTIVE,41,3/8/02,2/28/17,DELFINA RESTAURANT INC,3621 18TH ST,"SAN FRANCISCO, CA  94110-1531",DELFINA RESTAURANT,,,207,3800
413396,ACTIVE,41,12/16/05,11/30/17,DELFINA RESTAURANT INC,3611 18TH ST,"SAN FRANCISCO, CA  94110",DELFINA RESTAURANT,3621 18TH ST,"SAN FRANCISCO, CA  94110-1531",207,3800
426733,ACTIVE,41,7/25/05,6/30/17,"HUA, PETER GIOI VAN",3100 18TH ST,"SAN FRANCISCO, CA  94110",EVERGREEN GARDEN RESTAURANT,596 ARCH ST,"SAN FRANCISCO, CA  94132",228.01,3800
449461,ACTIVE,47,1/8/08,12/31/16,FARINA FOCACCIA CUCINA ITALIANA LLC,3560 18TH ST,"SAN FRANCISCO, CA  94110-1624",FARINA FOCACCIA CUCINA ITALIANA,,,207,3800
515320,ACTIVE,41,12/15/11,11/30/17,KENKEN RAMEN LLC,3378 18TH ST,"SAN FRANCISCO, CA  94110-1817",KENKEN RAMEN LLC,,,208,3800
533089,ACTIVE,41,11/12/13,5/31/17,"GALLARDO, JUAN MANUEL",3248 18TH ST,"SAN FRANCISCO, CA  94110-1913",GALLARDOS MEXICAN RESTAURANT,,,228.01,3800
544765,ACTIVE,41,10/26/15,9/30/17,"18 REASONS, A CA NONPROFIT PUBLIC BENEFIT CORPORAT",3674 18TH ST,"SAN FRANCISCO, CA  94110-1532",18 REASONS,,,207,3800
556087,ACTIVE,41,8/14/15,7/31/17,"VILLALOBOS, FRANCISCO JAVIER",3481 18TH ST,"SAN FRANCISCO, CA  94110-1745",REGALITO ROSTICERIA,"811 TREAT ST, #3","SAN FRANCISCO, CA  94110-2734",208,3800
101617,ACTIVE,48,3/16/81,7/31/17,18TH ST BAR INC,4146 18TH ST,"SAN FRANCISCO, CA  94114",TOAD HALL,4121 18TH ST,"SAN FRANCISCO, CA  94114",205,3800
278055,ACTIVE,48,12/11/92,5/31/17,TDG INC,4086 18TH ST,"SAN FRANCISCO, CA  94114",SF MIX,,,206,3800
320290,ACTIVE,41,9/16/96,8/31/17,MEYERS COMPANY LLC THE,4248 18TH ST,"SAN FRANCISCO, CA  94114",FIREWOOD CAFE,123 SECOND ST,"SAUSALITO, CA  94965-2526",205,3800
350635,ACTIVE,48,3/4/99,2/28/17,SAN FRANCISCO BADLANDS INC,4121 18TH ST,"SAN FRANCISCO, CA  94114",BADLANDS,,,205,3800
419104,ACTIVE,41,2/11/05,1/31/17,THAI INTERNATIONAL BUSINESS INC,4133 18TH ST,"SAN FRANCISCO, CA  94114",THAI CHEF 2,1290 39TH ST,"SAN FRANCISCO, CA  94122",205,3800
442939,ACTIVE,47,10/11/06,9/30/17,EUREKA RESTAURANT INC,4063 18TH ST,"SAN FRANCISCO, CA  94114",EUREKA RESTAURANT & LOUNGE,,,206,3800
462174,ACTIVE,47,1/25/08,12/31/17,VERROTTA LLC,4072 18TH ST,"SAN FRANCISCO, CA  94114-2534",POESIA,4072 18TH ST,"SAN FRANCISCO, CA  94114-2534",206,3800
462216,ACTIVE,41,5/28/08,4/30/17,VK INDUSTRIES INC,4001 18TH ST,"SAN FRANCISCO, CA  94114-2501",KASA INDIAN EATERY,,,206,3800
473755,ACTIVE,48,1/7/09,12/31/17,"HARRINGTON, KEVIN FINBARR",3988 18TH ST,"SAN FRANCISCO, CA  94114-2520",LAST CALL BAR,,,206,3800
474064,ACTIVE,41,12/5/08,6/30/17,"PEREZGONZALEZ, FRANCISCO J",4150 18TH ST,"SAN FRANCISCO, CA  94114-2408",TAQUERIA ZAPATA,,,205,3800
500952,ACTIVE,41,10/28/10,9/30/17,"CHAN, WILLIAM CHUNGPONG",4243 18TH ST,"SAN FRANCISCO, CA  94114-2409",TAKARA SUSHI SF,4125 KIRKHAM ST,"SAN FRANCISCO, CA  94122",205,3800
507065,ACTIVE,86,3/30/11,2/28/17,ALBECO INC,4201 18TH ST,"SAN FRANCISCO, CA  94114-5403",MOLLIE STONES MARKET,150 SHORELINE HWY BLDG D,"MILL VALLEY, CA  94941-6637",205,3800
507745,ACTIVE,48,6/21/11,5/31/17,EDGE OF CASTRO INC,4149 18TH ST,"SAN FRANCISCO, CA  94114",EDGE THE,PO BOX 14127,"SAN FRANCISCO, CA  94114",205,3800
508111,ACTIVE,41,6/3/11,5/31/17,"CHADHA, MONA MRIDULA",4238 18TH ST,"SAN FRANCISCO, CA  94114-2410",CURRY BOYZZ,,,205,3800
513475,ACTIVE,48,10/25/11,9/30/17,RTJ RISING SUN INC,4067 18TH ST,"SAN FRANCISCO, CA  94114-2535",MIDNIGHT SUN,,,206,3800
524946,ACTIVE,41,4/4/13,3/31/17,"JI, LI",4416 18TH ST,"SAN FRANCISCO, CA  94114-2429",MAMA JI'S,,,205,3800
539376,ACTIVE,41,7/23/14,6/30/17,"DNA BESO, INC.",4058 18TH ST,"SAN FRANCISCO, CA  94114-2534",BESO,4058 A 18TH ST,"SAN FRANCISCO, CA  94114",206,3800
540484,ACTIVE,41,3/13/14,2/28/17,MARCELLE CORPORATION,4039 18TH ST,"SAN FRANCISCO, CA  94114-2501",MEKONG KITCHEN,125 KEARNY ST,"SAN FRANCISCO, CA  94108-4801",206,3800
552228,ACTIVE,41,5/21/15,4/30/17,"BAR VERO, LLC",4230 18TH ST,"SAN FRANCISCO, CA  94114-2410",BAR VERO,PO BOX 471167,"SAN FRANCISCO, CA  94147-1167",205,3800
553887,ACTIVE,41,4/28/15,3/31/17,"SERHAT, LLC",4068 18TH ST,"SAN FRANCISCO, CA  94114-2534",,,,206,3800
6237,ACTIVE,48,11/1/77,7/31/17,DAVIC INC,4049 18TH ST,"SAN FRANCISCO, CA  94114-2501",MOBY DICK,,,206,3800
39931,ACTIVE,47,1/1/94,1/31/17,TIA MARGARITA INC,300-02 19TH AVE,"SAN FRANCISCO, CA  94121",TIA MARGARITA,300 19TH AVE,"SAN FRANCISCO, CA  94121",426.02,3800
552829,ACTIVE,47,8/19/15,7/31/17,"MORTAR & MASH ONE, LLC",601 19TH ST,"SAN FRANCISCO, CA  94107-3040",PEARL THE,,,226,3800
407012,ACTIVE,41,4/19/04,3/31/17,UNIVERSAL CAFE INC,2814 19TH ST,"SAN FRANCISCO, CA  94110",UNIVERSAL CAFE,,,228.01,3800
430571,ACTIVE,48,11/10/05,10/31/17,GCBC LLC,3197 19TH ST,"SAN FRANCISCO, CA  94110",HOMESTEAD THE,2828 19TH  ST,"SAN FRANCISCO, CA  94110",228.01,3800
453329,SUREND,41,11/15/07,10/31/17,BOLLYHOOD INC,3376 19TH ST,"SAN FRANCISCO, CA  94110-1815",BOLLYHOOD CAFE,2319 MISSION ST,"SAN FRANCISCO, CA  94110",208,3800
486153,ACTIVE,47,6/25/10,5/31/17,HOG & ROCKS LLC,3431 19TH ST,"SAN FRANCISCO, CA  94110-1726",HOG & ROCKS,,,208,3800
536499,ACTIVE,47,12/16/13,6/30/17,"SENGHOR, MARCO OLIVIER",3376 19TH ST,"SAN FRANCISCO, CA  94110-1815",BISSAP BAOBAP,2319 MISSION ST,"SAN FRANCISCO, CA  94110",208,3800
541680,ACTIVE,41,6/24/14,9/30/17,HORSENS LLC,3368 19TH ST,"SAN FRANCISCO, CA  94110-1815",ROYAL CUCKOO MARKET,,,208,3800
542439,ACTIVE,47,5/30/14,4/30/17,"ANAGRAM RESTAURANT GROUP, LLC",3416 19TH ST,"SAN FRANCISCO, CA  94110-1727",LAZY BEAR,,,208,3800
554752,ACTIVE,48,6/1/15,5/31/17,"SUNSET BAR, LLC",3464 19TH ST,"SAN FRANCISCO, CA  94110-1740",WILDHAWK,3138 FILLMORE ST,"SAN FRANCISCO, CA  94123",208,3800
569798,ACTIVE,41,8/11/16,7/31/17,"363 VALENCIA, LLC",3465 19TH ST,"SAN FRANCISCO, CA  94110-1742",RADISH,3232 22ND ST,"SAN FRANCISCO, CA  94110",208,3800
509589,ACTIVE,42,7/11/11,6/30/17,CASTRO WINE VENTURES LLC,4119-21 19TH ST,"SAN FRANCISCO, CA  94114-2422",CASTRO VILLAGE WINE CO,,,205,3800
410330,ACTIVE,41,5/11/04,4/30/17,"OLGUIN, ALFREDO",82 1ST ST,"SAN FRANCISCO, CA  94105",EL FARO RESTAURANT,,,615,3800
